"time","Austria","Belgium","Czechia","France","Germany","Hungary","Italy","Luxembourg","Netherlands","Poland","Slovakia","Spain"
"2009_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011_40",0,0,NA,NA,0,0,NA,0,0,NA,0,NA
"2011_41",0,0,NA,NA,0,0,NA,0,0,NA,0,0
"2011_42",0,0,NA,NA,0,0,NA,NA,0,NA,0,0
"2011_43",0,0,0,NA,0,NA,NA,0,0,NA,0,0
"2011_44",0,0,NA,NA,0,0,NA,0,0,NA,0,6.35429547233238
"2011_45",0,0,NA,NA,0,0,NA,0,85.4150333398156,NA,0,0
"2011_46",0,0,NA,NA,372.949264931351,0,38.1482397632831,0,0,NA,NA,48.5701895298969
"2011_47",0,37.7638220445599,0,NA,0,0,146.088578082076,0,0,NA,0,13.340509831416
"2011_48",0,0,0,NA,156.60169185649,0,108.103912537103,0,147.120088182381,NA,0,46.119886492735
"2011_49",0,57.8125222529342,0,NA,260.814697866503,0,144.800823720922,0,27.4772625633598,NA,0,37.9688766494922
