"time","Austria","Belgium","Czechia","France","Germany","Hungary","Italy","Luxembourg","Netherlands","Poland","Slovakia","Spain"
"2009_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009_53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010_40",0,0,NA,NA,0,0,NA,0,0,0,0,18.8745145781819
"2010_41",0,0,NA,NA,0,0,NA,0,0,0,NA,31.3205773281994
"2010_42",0,0,0,NA,0,0,NA,0,25.0131399174545,0,0,9.92143700599303
"2010_43",0,59.1410584598645,0,NA,295.225802837994,0,NA,0,55.531564218655,0,0,35.6643334085612
"2010_44",0,0,0,NA,0,0,NA,0,0,0,0,21.0806266717356
"2010_45",0,0,0,NA,0,0,NA,0,0,0,0,11.0924603581602
"2010_46",0,37.8161575728942,NA,NA,0,0,0,1271.64812703691,18.7232860200829,0,794.680801752646,41.0767672638119
"2010_47",0,112.394771733679,0,NA,190.144496839069,0,37.2612987025234,0,30.3317233525343,19.2163524497876,576.949724649732,40.9519770847825
"2010_48",0,240.915749846539,NA,NA,0,0,60.6474172186067,0,29.1061991766743,0,0,110.613434272135
"2010_49",0,542.815658941065,NA,NA,184.153788230385,0,25.5014357878974,902.459961122969,25.5884908941133,0,1014.40335693382,39.6922979081152
"2010_50",0,980.831707995908,NA,NA,999.530049421715,0,173.042902390046,414.527063482321,65.4406113323287,37.6432002696712,220.384451480443,141.142352696295
"2010_51",252.537522363812,1413.29829517793,NA,NA,777.068357474015,0,374.245822200629,689.151243039358,71.4831338436423,0,0,316.939675826787
"2010_52",0,1095.64651130115,0,NA,NA,0,432.174148980301,499.489871530627,92.3757304243849,0,0,454.430082566038
"2011_01",436.867365696325,2649.6493993502,0,NA,848.50946820584,0,514.228423484889,1256.2652867905,330.705482145418,0,0,245.437324114831
"2011_02",326.337242007268,1246.18658897572,0,NA,836.565137338362,0,411.29650351199,NA,408.172114492836,84.8910953724594,0,654.900132914949
"2011_03",917.935429568984,2173.43389840002,0,NA,1033.09268350166,98.3315761414353,731.032635389428,3731.79389329228,678.863460741375,69.5677593799128,0,1192.23158809724
"2011_04",625.791894408773,2612.16587729693,160.62374154,NA,1504.3065284618,383.205901178902,NA,3474.1163486552,429.699414160903,168.483326028323,1834.86816164159,1759.10194194516
"2011_05",1441.83362733344,3092.96362464619,414.727240796311,NA,1498.77496499934,62.2558188761484,1661.07877074292,3693.19783798403,831.833389308423,190.99975028358,389.102397081655,3246.24910598761
"2011_06",1626.03165559527,2486.37408495466,1601.24905047559,NA,2021.81748732994,75.4653219369897,1359.92642615483,4274.69818657066,526.999054387661,154.850157178993,0,2886.24766103733
"2011_07",1192.39092754762,2202.62531828085,0,NA,1744.14338383896,141.150649864438,1380.98982377167,3035.54714195908,459.474199090295,170.942868644187,110.542591765981,2649.26810175077
"2011_08",1685.44508370496,681.486965945209,1511.47431813376,NA,2530.14565793928,302.334525930107,462.521100120587,782.131966306573,366.045950011529,287.352690835429,NA,2094.30851152857
"2011_09",1601.72307354874,733.146933249466,1748.53556954327,NA,2940.44389805251,483.202023629389,220.37448789278,3760.61939573601,287.330427769734,451.369855085408,137.025156259771,1057.36183839378
"2011_10",1843.90388869456,413.987409219052,1378.21774675814,NA,3584.05955172554,575.170105936131,183.388895830922,2328.7253542264,136.294508528545,567.04301593871,3676.19631489692,536.90093240782
"2011_11",1796.61704142614,315.682706695464,2346.74568803785,NA,3821.72658830864,236.233135378651,68.4600945411217,482.598909691427,182.80279699072,130.635821387774,114.320343933222,390.285988061592
"2011_12",1199.81592629298,0,908.743781708021,NA,2587.49921821906,343.752251057526,20.3000480137136,380.375686093152,71.2012285270757,125.857845624245,2791.71649325547,280.210674729432
"2011_13",1984.57708401029,67.2287245740341,458.059130750381,NA,2432.08334070152,352.673174057944,7.28344662163496,902.459961122969,17.4868426036623,156.494867154364,1705.54290423378,197.667643582414
"2011_14",0,50.6627948344994,411.614306064256,NA,2321.1172455941,97.9417525334527,0,0,25.7922817623591,15.4698428327135,0,39.8686270501703
"2011_15",0,44.2294240618646,76.8149200726555,NA,811.6879449972,178.644581907345,18.6227733227686,0,0,46.6839266474491,97.8886091569073,8.44733519582965
"2011_16",0,0,NA,NA,0,0,0,0,0,7.86503830310613,120.357061764679,6.19925405500402
"2011_17",0,0,67.2546215787644,NA,1388.66196465096,0,0,0,0,6.66388109286985,604.216764616622,0
"2011_18",0,0,NA,NA,0,0,NA,0,0,8.72190755546472,0,0
"2011_19",0,0,NA,NA,0,0,NA,NA,0,0,NA,0
"2011_20",0,0,NA,NA,0,0,NA,NA,0,0,0,0
"2011_21",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_22",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_23",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_24",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_25",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_26",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_27",0,0,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_28",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_29",0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2011_30",0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA
"2011_31",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
"2011_32",0,NA,NA,NA,NA,NA,NA,NA,0,0,365.204660142522,NA
"2011_33",0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA
