"time","Austria","Belgium","Croatia","Czechia","Denmark","France","Germany","Hungary","Iceland","Ireland","Italy","Luxembourg","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","United Kingdom"
"2009_15",NA,0.2,NA,NA,0.0192307692307692,NA,0.25,NA,NA,NA,0.05,NA,0.5,0,NA,0.230769230769231,NA,0.0447761194029851,NA,0.357142857142857,0.307692307692308
"2009_16",NA,NA,0,0,0.0357142857142857,NA,0.166666666666667,0.0588235294117647,NA,0.024390243902439,0.0666666666666667,0.285714285714286,0,0,NA,0.636363636363636,0.666666666666667,0.0869565217391304,0.2,0.565217391304348,0.111111111111111
"2009_17",NA,1,0,0.0588235294117647,0.0144927536231884,NA,0,0,NA,0,0,0,0,0,NA,0.636363636363636,0,0.0181818181818182,0.12,0.833333333333333,0
"2009_18",NA,0.0769230769230769,0,0,0.0467836257309941,NA,0.037037037037037,0,NA,0.0134228187919463,0,0.1,0,0,NA,0,0.0625,0,0.163265306122449,0.320754716981132,0
"2009_19",NA,0,0,0,NA,NA,0,0,NA,0,0,0,0.0454545454545455,0,NA,0.170731707317073,0.0285714285714286,0,0.0434782608695652,0.292682926829268,0
"2009_20",NA,0,0,0,0.00909090909090909,NA,0,0,NA,0,0,0,0.0909090909090909,0,NA,0.114285714285714,0,0,0.146341463414634,0.0851063829787234,0
"2009_21",NA,0.142857142857143,0,0,0.0151515151515152,NA,0.0714285714285714,0,NA,0,0.0136986301369863,0,0,0,NA,0,0.0526315789473684,0,0.15625,0.2,0.00970873786407767
"2009_22",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0.0645161290322581,0,0,0.0166666666666667,0.0806451612903226,0.015625
"2009_23",NA,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0.0135135135135135,0,0.0952380952380952,0.5,0.021505376344086
"2009_24",NA,0,0,NA,0.00892857142857143,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0.0333333333333333,NA,0.0263157894736842
"2009_25",NA,0,0,NA,0.00694444444444444,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0.0153846153846154,NA,0
"2009_26",NA,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0.0909090909090909,0.015625,0
"2009_27",NA,0,0,NA,0,NA,0,0,NA,0.00352112676056338,0,0,0,0,NA,0,0,0,0.0253164556962025,NA,0
"2009_28",NA,0,0,NA,0,NA,NA,0,NA,0,0,0.0121951219512195,0,0,NA,NA,0,0,0.0298507462686567,0,NA
"2009_29",NA,0,0,NA,0,NA,NA,0,NA,0.00317460317460317,0,0,0,0,NA,0,0,0,NA,0,NA
"2009_30",NA,0,0,NA,0,NA,NA,0,NA,0.00117096018735363,0,0,0,0,NA,0,0,0,NA,0,0
"2009_31",NA,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0.00420168067226891,NA,0,0,0,NA,0,0
"2009_32",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0.00118764845605701,0
"2009_33",NA,0,0,NA,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,0,NA,0,0
"2009_34",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0.000973709834469328,0
"2009_35",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0.00395256916996047
"2009_36",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0
"2009_37",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0.0476190476190476,NA,0,0,0,NA,0,0
"2009_38",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0.0222222222222222,0,NA,0,0,0,0,0,0
"2009_39",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0.0037037037037037,0,0
"2009_40",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0.05,NA,0,0,0,0.00704225352112676,0,0
"2009_41",NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0.0143603133159269,0,0
"2009_42",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0.00952380952380952,0,0
"2009_43",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0.000998003992015968,0,0
"2009_44",NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0
"2009_45",NA,0,0,0,0,NA,0.00289855072463768,0,NA,0,0,0,0,0.0217391304347826,NA,0,0,0,0.00333778371161549,0,0.00161550888529887
